epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(1, 1)",FAMOUS AMERICANS,6,"(200,)",False,Legendary General George Armstrong Custer first saw action in this war,the Civil War,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(2, 1)",THEIR FIRST TOP 10 SOLO HIT,1,"(200,)",False,"""If You Love Somebody Set Them Free""(1985)",Sting,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(3, 1)","NUMBER, PLEASE",7,"(200,)",False,A goose egg,0,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(4, 1)",HOW INVENTIVE,16,"(200,)",False,This Renaissance man's invention of the maritime lock allowed Milan to link with the Po river via a canal system,Da Vinci,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(5, 1)",ABSOLUTE ADJECTIVES,21,"(200,)",False,"As is often said, you can't be a little bit this, also called ""in a family way""",pregnant,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(6, 1)",THE NEW YORK TIMES TECHNOLOGY,26,"(200,)",False,"(Mr. Pogue points a handheld projector at a screen.)  Micro projectors are tiny, but at short range they give you a nearly cinematic experience; they use the same type of DLP technology that's replacing film in movie theaters; DLP stands for this type of light processing",digital,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(1, 2)",FAMOUS AMERICANS,12,"(400,)",False,He's the future governor & labor union president seen here around 1940,Ronald Reagan,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(2, 2)",THEIR FIRST TOP 10 SOLO HIT,2,"(400,)",False,"""Cry Me A River""(2002)",Justin Timberlake,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(3, 2)","NUMBER, PLEASE",8,"(400,)",False,Fourscore,80,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(4, 2)",HOW INVENTIVE,17,"(400,)",False,Hoping to capitalize on the popularity of Superman was one factor in naming this '70s audio product,the Walkman,0,3
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(5, 2)",ABSOLUTE ADJECTIVES,22,"(400,)",False,"A nickname of Rome is this type of ""City"", an adjective that should not be modified",Eternal,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(6, 2)",THE NEW YORK TIMES TECHNOLOGY,27,"(400,)",False,"(David Pogue reads the clue.)  You can track your car, your dog or even your teenager with a Zoombak, which pinpoints their location courtesy of this space-based system",GPS,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(1, 3)",FAMOUS AMERICANS,13,"(600,)",False,"Today found on the $10 bill, he was an aide-de-camp to Washington & also served in his cabinet",(Alexander) Hamilton,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(2, 3)",THEIR FIRST TOP 10 SOLO HIT,3,"(600,)",False,"""The Heat Is On""(1984)",Glenn Frey,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(3, 3)","NUMBER, PLEASE",9,"(600,)",False,"Number of ounces in a Starbucks ""venti""(hope you speak Italian)",20,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(4, 3)",HOW INVENTIVE,18,"(900,)",True,Fashion designer Jacques Heim called his smallest style the Atom; rival Louis Reard named his after this atoll,Bikini,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(5, 3)",ABSOLUTE ADJECTIVES,23,"(600,)",False,"This 6-letter word for ""one of a kind"" should never be preceded by ""very""",unique,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(6, 3)",THE NEW YORK TIMES TECHNOLOGY,28,"(600,)",False,"(David Pogue reads the clue.) A truly green product, the prototype Sony Ericsson Greenheart phone is made of recycled plastic & bioplastic from this most commonly grown U.S. grain",corn,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(1, 4)",FAMOUS AMERICANS,14,"(800,)",False,In 1995 astronaut Norman Thagard became the first American to board this Russian space station,Mir,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(2, 4)",THEIR FIRST TOP 10 SOLO HIT,4,"(800,)",False,"""London Bridge""(2006)",Fergie,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(3, 4)","NUMBER, PLEASE",10,"(800,)",False,"A long-playing record, in RPMs",33 1/3,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(4, 4)",HOW INVENTIVE,19,"(800,)",False,Friedrich Jahn of Germany invented this gymnastics event that uses a surface 16 feet long & 4 inches wide,the balance beam,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(5, 4)",ABSOLUTE ADJECTIVES,24,"(800,)",False,"Absolute mathematical terms include parallel & this, indicated by 2 parallel lines",equal (equals accepted),1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(6, 4)",THE NEW YORK TIMES TECHNOLOGY,29,"(800,)",False,"(David Pogue reads the clue.)  I'm holding a Blu-ray DVD player that can also download movies & TV shows from this service that's now living up to its name; its CEO has said, ""There's a reason we didn't call the company DVD By Mail""",Netflix,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(1, 5)",FAMOUS AMERICANS,15,"(1000,)",False,"Though the Constitution says the U.S. can't have one of these, it was the last name of Constitution signer Rufus",King,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(2, 5)",THEIR FIRST TOP 10 SOLO HIT,5,"(1000,)",False,"""Mother And Child Reunion""(1972)",Paul Simon,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(3, 5)","NUMBER, PLEASE",11,"(1000,)",False,3-digit number for a gross,144,1,0
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(4, 5)",HOW INVENTIVE,20,"(1000,)",False,This magnetic device was invented in China & used to find the best burial place,the compass,0,3
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(5, 5)",ABSOLUTE ADJECTIVES,25,"(1000,)",False,"It's not just unlikely, it's this, the I in the IM Force",impossible,0,3
5700,2009-05-22,Justin Bernbach game 2.,Jeopardy,"(6, 5)",THE NEW YORK TIMES TECHNOLOGY,30,"(1000,)",False,"(David Pogue reads the clue.) OLED technology delivers such an incredible picture in such a thin screen because there's no backlight needed; each of these 518,400 units making up the image generates its own light",a pixel,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(1, 1)",THE SUPER BOWL,1,"(400,)",False,"A 1979 third-round draft pick by the 49ers, this QB was Super Bowl MVP 3 times",Joe Montana,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(2, 1)",THE DOLPHINS,26,"(400,)",False,The dolphin kick is used in competition in this sport,swimming,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(3, 1)",THE GIANTS,6,"(400,)",False,"""Hands of Victory"", giant crossed swords made from melted guns used in the war against Iran, dominate this city's skyline",Baghdad,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(4, 1)",THE JETS,12,"(400,)",False,"The ""Q"" in QSST, a proposed 12-passenger luxury jet, stands for ""quiet"", as it wouldn't produce this 2-word sound",a sonic boom,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(5, 1)","THE ""BUC""s",7,"(400,)",False,"It's grain ground into flour, o-tay?",buckwheat,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(6, 1)",SOMEDAY THE SAINTS,17,"(400,)",False,"Canonized in 1933, this French nun & visionary is the Patron Saint of Lourdes",Bernadette (Soubirous),1,1
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(1, 2)",THE SUPER BOWL,2,"(800,)",False,"That's right, Watson--this Steeler's catch in the waning seconds of Super Bowl XLIII won him the MVP",(Santonio) Holmes,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(2, 2)",THE DOLPHINS,28,"(800,)",False,"The tucuxi, an under-4-foot dolphin, has been found swimming more than 1,500 miles up this river",the Amazon,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(3, 2)",THE GIANTS,19,"(800,)",False,"A giant ocean cataract, a type of this under the Denmark Strait, carries 5 million cubic meters of water per second",a waterfall,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(4, 2)",THE JETS,13,"(3200,)",True,"Introduced in the 1980s, it's the Boeing jet whose digits add up to 20",the 767,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(5, 2)","THE ""BUC""s",8,"(800,)",False,"Perhaps to keep this president from being lonely, the King of Siam offered him a herd of elephants",(James) Buchanan,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(6, 2)",SOMEDAY THE SAINTS,18,"(800,)",False,This saint is also the Patron Saint of shoe shiners & not just on Christmas,Nicholas,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(1, 3)",THE SUPER BOWL,3,"(1200,)",False,This city on the Great Lakes is the only NFL city that has never hosted nor appeared in a Super Bowl,Cleveland,1,1
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(2, 3)",THE DOLPHINS,27,"(1200,)",False,"Seen here, this variety of dolphin takes its name from a distinctive facial feature",the bottlenose,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(3, 3)",THE GIANTS,21,"(1200,)",False,"(Sarah of the Clue Crew points to a map on the monitor.)  Completely landlocked & fed by rivers like the Zhem, the Ural & the Volga, this large sea is actually a lake",the Caspian,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(4, 3)",THE JETS,14,"(1200,)",False,In the Korean War U.S. F-86 Sabre jets participated in dogfights with these Soviet fighter planes,MiGs,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(5, 3)","THE ""BUC""s",9,"(1200,)",False,An open 4-wheeled horse-drawn carriage with a flexible seat,a buckboard,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(6, 3)",SOMEDAY THE SAINTS,20,"(1200,)",False,"He wrote to the Corinthians, ""When I became a man, I put away childish things""",St. Paul,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(1, 4)",THE SUPER BOWL,4,"(1600,)",False,"The 1980 Raiders were first to win a Super Bowl after making the playoffs as this, a non-division winner",a wildcard,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(2, 4)",THE DOLPHINS,29,"(3000,)",True,This research society has published the Dolphin Log for kids & the Calypso Log for adults,the Cousteau Society,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(3, 4)",THE GIANTS,22,"(1600,)",False,"If you're visiting the rocky promontory called the Giant's Causeway, you're traveling on this island",Ireland,0,3
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(4, 4)",THE JETS,15,"(1600,)",False,The A380 from this France-based co. was designed to carry up to 840 passengers; how long does deplaning take?,Airbus,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(5, 4)","THE ""BUC""s",10,"(1600,)",False,"Whenever Johnny & I wrestle, he climbs up to the top one of these corner-of-the-ring supports & bodyslams me",a turnbuckle,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(6, 4)",SOMEDAY THE SAINTS,24,"(1600,)",False,"On Christmas Eve in 1223, this Italian saint set up a nativity scene in Greccio, complete with live animals",St. Francis (of Assisi),1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(1, 5)",THE SUPER BOWL,5,"(2000,)",False,In 1988 he became the first African-American quarterback to start & win a Super Bowl,Doug Williams,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(2, 5)",THE DOLPHINS,30,"(2000,)",False,In the 400s B.C. this Greek historian told the story of the rescue of the poet Arion by a dolphin,Herodotus,0,3
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(3, 5)",THE GIANTS,23,"(2000,)",False,"To see Mario Irarrazabal's giant ""Hand of the Desert"" statue, visit the Atacama Desert in this country",Chile,0,3
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(4, 5)",THE JETS,16,"(2000,)",False,"Each turbojet on the Northrop F-5E generates 3,500 pounds of thrust; these ""kick in"" to boost thrust to 5,000 pounds",afterburners,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(5, 5)","THE ""BUC""s",11,"(2000,)",False,This monarch has a troubling dream in the Bible's Book of Daniel,Nebuchadnezzar,1,0
5700,2009-05-22,Justin Bernbach game 2.,Double Jeopardy,"(6, 5)",SOMEDAY THE SAINTS,25,"(2000,)",False,"(Jon of the Clue Crew reports from the Santiago de Compostela Cathedral in Spain.)  The Cathedral of Santiago de Compostela houses the remains of this saint--""Iago"" in Spanish--the traditional evangelizer of Spain",St. James,0,3
5700,2009-05-22,Justin Bernbach game 2.,Final Jeopardy,"(1, 1)",20th CENTURY POLITICS,0,"(4500, 14799, 13900)",False,"On September 23, 1952 some 60 million people, the largest TV audience to that time, tuned in for this live address",the Checkers Speech,1,2
5588,2008-12-17,,Jeopardy,"(1, 1)",1958,1,"(200,)",False,"In August this jumped to 4 cents, the first increase in 26 years",a postage stamp,1,0
5588,2008-12-17,,Jeopardy,"(2, 1)",SPORTS INITIALS,6,"(200,)",False,Speed racer Anthony Joseph,(A.J.) Foyt,1,0
5588,2008-12-17,,Jeopardy,"(3, 1)",MEET YOU IN THE MIDDLE,11,"(200,)",False,Iodized____lick,salt,1,0
5588,2008-12-17,,Jeopardy,"(4, 1)",EAT YOUR VEGGIES!,26,"(200,)",False,"A single one of these is actually an unopened flower bud from a thistlelike plant; its leaves & ""Heart"" are edible",an artichoke,1,0
5588,2008-12-17,,Jeopardy,"(5, 1)",LEFTOVERS,16,"(200,)",False,"Chapter 33 of this book begins, ""Dear Marmee and Beth: I'm going to write you a regular volume, for I've got lots to tell""",Little Women,1,0
